"name","cfh_name","rr18_code"
"White","White","A"
"Black Caribbean","Black","M"
"Black African","Black","N"
"Black / other / non-mixed origin","Black","P"
"Black British","Black","P"
"Black Caribbean","Black","M"
"Black North African","Black","N"
"Black – other African country","Black","N"
"Black East African Asian","Black","P"
"Black Indian sub-continent","Black","P"
"Black – other Asian","Black","P"
"Black Black - other","Black","P"
"Black – other / mixed","Black","P"
"Other Black - Black/White orig","Black","P"
"Other Black - Black/Asian orig","Black","P"
"Indian","Asian","H"
"Pakistani","Asian","J"
"Bangladeshi","Asian","K"
"Chinese","Chinese","R"
"Other ethnic non-mixed (NMO)","Other","S"
"Brit. ethnic minor. spec.(NMO)","Other","S"
"Caribbean Island (NMO)","Other","M"
"North African Arab (NMO)","Other","S"
"Other African countries (NMO)","Other","S"
"East African Asian (NMO)","Asian","L"
"Indian sub-continent (NMO)","Asian","L"
"Other Asian (NMO)","Asian","L"
"Irish (NMO)","White","B"
"Greek Cypriot (NMO)","White","C"
"Turkish Cypriot (NMO)","White","C"
"Other European (NMO)","White","C"
"Other ethnic NEC (NMO)","Other","S"
"Other ethnic / mixed origin","Other","G"
"Other ethnic / Black/White orig","Other","E"
"Other ethnic / Asian/White orig","Other","F"
"Other ethnic / mixed white orig","Other","C"
"Other ethnic / other mixed orig","Other","G"
